x;y;z
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,09204382;0,05908383;-1,034944
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07300027;0,02392651;-0,9919736
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,07739494;-0,07983642;-1,007599
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1362346;-0,08154546;-1,291299
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1201209;-0,1218299;-1,323038
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
0,1264687;-0,2365795;-1,026399
